Package Name,Library Name,Type,Official Website
La,no,,
La/a,no,,
La/a/a,no,,
La/a/a/a,no,,
La/a/a/a/a,no,,
La/a/a/a/a/a,no,,
La/a/a/a/a/b,no,,
Lafzkl,no,,
Lafzkl/development,no,,
Lafzkl/development/mColorPicker,Penroser,Development Aid,https://github.com/JesusFreke/Penroser
Lair,no,,
Lair/com,no,,
Landroid,no,,
Landroid/content,no,,
Landroid/content/pm,Android Package management,Development Aid,https://developer.android.com/reference/android/content/pm/package-summary.html
Landroid/opengl,OpenGL,Development Aid,http://developer.android.com/reference/android/opengl/package-summary.html
Landroid/support,no,,
Landroid/support/a,no,,
Landroid/support/a/a,no,,
Landroid/support/design,Android Support Design,Development Aid,https://developer.android.com/reference/android/support/design/package-summary.html
Landroid/support/multidex,Multidex,Development Aid,https://developer.android.com/studio/build/multidex.html
Landroid/support/v13,Android Support v13,Development Aid,https://developer.android.com/reference/android/support/v13/app/package-summary.html
Landroid/support/v4,Android Support v4,Development Aid,http://developer.android.com/reference/android/support/v4/app/package-summary.html
Landroid/support/v7,Android Support v7,Development Aid,https://developer.android.com/reference/android/support/v7/app/package-summary.html
Landroid/widget,android widget,GUI Component,
Lanet,no,,
Lanet/channel,Umeng push,Development Aid,http://mobile.umeng.com/push
Lanetwork,no,,
Lanetwork/channel,no,,
Lanetwork/channel/aidl,AIDL,Development Aid,https://developer.android.com/guide/components/aidl.html
Lanywheresoftware,anywheresoftware,Development Aid,
Lappinventor,Appinventor,Development Aid,http://appinventor.mit.edu/
Lappmachine,AppMachine App Generator,Development Aid,http://www.appmachine.com/
Lau/com/bytecode/opencsv,Opencsv,Development Aid,https://github.com/EmergentOrder/opencsv
Laurelienribon,AurelienRibon Animation Library,Development Aid,http://www.aurelienribon.com
Lb/a,no,,
Lb/a/a,no,,
Lb/a/a/a,no,,
Lb/a/a/a/a,no,,
Lb/a/a/a/a/b,no,,
Lbiz,no,,
Lbiz/neoline,Neoline,Development Aid,http://www.neoline.biz/
Lbolts,Bolts Base Library,Development Aid,https://github.com/BoltsFramework/Bolts-Android
Lbutterknife,butterknife UI Framework,GUI Component,https://github.com/JakeWharton/butterknife
Lc,no,,
Lc/a,no,,
Lc/a/a,no,,
Lc/a/a/a,no,,
Lc/a/a/a/a,no,,
Lc/a/a/a/a/a,no,,
Lc/a/a/a/a/b,no,,
Lc/a/a/a/a/c,no,,
Lc/a/a/a/a/e,no,,
Lc/a/a/a/a/g,no,,
Lc/b,no,,
Lc/b/a,no,,
Lc/m,no,,
Lc/m/x,no,,
Lc/m/x/a,no,,
Lc/m/x/a/am48,no,,
Lch/boye/httpclientandroidlib,httpclientandroidlib,Development Aid,https://github.com/surespot/httpclientandroidlib
Lch/qos/logback,Logback,Development Aid,http://logback.qos.ch/
Lcn,no,,
Lcn/domob,domob,Advertisement,http://www.domob.cn/
Lcn/jiguang,Jiguang,Development Aid,https://www.jiguang.cn/
Lcn/jiguang/a,no,,
Lcn/jiguang/a/a,no,,
Lcn/jpush,no,,
Lcn/jpush/android,Jpush,Development Aid,https://www.jiguang.cn/
Lcn/sharesdk,no,,
